company name,ticker,sector,year,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24,topic_25,topic_26,topic_27,topic_28,topic_29,topic_30,topic_31,topic_32,topic_33,topic_34,topic_35,topic_36,topic_37,topic_38,topic_39,topic_40,topic_41,topic_42,topic_43,topic_44,topic_45,topic_46,topic_47,topic_48,topic_49,topic_50,topic_51,topic_52,topic_53,topic_54,topic_55,topic_56,topic_57,topic_58,topic_59,topic_60,topic_61,topic_62,topic_63,topic_64,topic_65,topic_66,topic_67,topic_68,topic_69,topic_70,topic_71,topic_72,topic_73,topic_74,topic_75,topic_76,topic_77,topic_78,topic_79,topic_80,topic_81,topic_82,topic_83,topic_84,topic_85,topic_86,topic_87,topic_88,topic_89,topic_90,topic_91,topic_92,topic_93,topic_94,topic_95,topic_96,topic_97,topic_98,topic_99
Facebook Inc. (Meta Platforms),FB,Communication Services,2019,0.001025926,0.001643834,0.000839158,0.038458006,0.000984797,0.000961692,0.000865135,0.000925173,0.000985211,0.000869527,0.000963328,0.000939097,0.000893192,0.001009042,0.007295204,0.006128394,0.002489568,0.000939982,0.000965828,0.001099315,0.000978396,0.000831324,0.000924482,0.007193766,0.003907636,0.001324118,0.00201334,0.000991212,0.001068054,0.000967297,0.007174495,0.000764563,0.001466036,0.000856946,0.00109302,0.001049384,0.000902699,0.000966762,0.541705164,0.002773091,0.000923469,0.001262912,0.002492031,0.000964441,0.001592657,0.000969173,0.000843951,0.000881815,0.001025123,0.011541067,0.000823595,0.020512154,0.007905175,0.015836914,0.001043602,0.001077554,0.032524724,0.000971464,0.01033585,0.012331459,0.004046333,0.000819676,0.00085185,0.000866221,0.000879457,0.001337952,0.000820979,0.001930253,0.000893937,0.001093367,0.001133271,0.000974639,0.003535506,0.001258136,0.002791767,0.000940627,0.008996884,0.000707703,0.001032369,0.000781445,0.001556313,0.001883229,0.033562264,0.007273704,0.000990005,0.001012554,0.000842426,0.001184265,0.001033277,0.000792776,0.006151627,0.000831969,0.000990442,0.007059573,0.000922279,0.000957196,0.000871302,0.016839089,0.103512477,0.000948537
"Discovery, Inc.",DISCK,Communication Services,2020,0.000890299,0.001070585,0.007716288,0.000905711,0.002465006,0.005268731,0.005411121,0.000991368,0.000820696,0.001195289,0.017822252,0.000750815,0.000865852,0.000935107,0.000867784,0.000788934,0.004237237,0.001104673,0.010144711,0.001008825,0.001056575,0.002167476,0.000806344,0.001104062,0.000748867,0.010148322,0.000899594,0.000797856,0.0346271,0.007223609,0.000874223,0.001412893,0.001010899,0.000704957,0.000780795,0.002217521,0.00080811,0.000813124,0.508157839,0.010351648,0.028914954,0.00099076,0.003941448,0.000885461,0.000869874,0.000793272,0.000786698,0.000756695,0.05309024,0.000762865,0.002102764,0.000769923,0.000794417,0.038365873,0.000866824,0.000823394,0.000930277,0.000929882,0.004563169,0.001113253,0.000884605,0.000649484,0.001172584,0.011125823,0.017378801,0.000894106,0.000697471,0.00102198,0.000875216,0.001077579,0.000827354,0.000776864,0.000907576,0.009472485,0.001016632,0.001713223,0.000761754,0.002426982,0.007107482,0.003689812,0.000925147,0.001102859,0.000961403,0.001363383,0.002126583,0.000861845,0.01515813,0.000890424,0.071193535,0.000716728,0.000820548,0.014095566,0.000938858,0.018875737,0.000790748,0.000785884,0.001045159,0.000715942,0.000834214,0.006294356
Lumen Technologies,LUMN,Communication Services,2022,0.00366345,0.000963571,0.001180284,0.001148432,0.001587419,0.001680369,0.011287591,0.001712196,0.001243538,0.001337648,0.003422898,0.000816196,0.001028548,0.004232973,0.061327138,0.000835366,0.001046311,0.001023184,0.029323528,0.005349134,0.000982339,0.001078115,0.001001193,0.00458755,0.000888916,0.001533909,0.00377288,0.001232196,0.000895603,0.000941311,0.003725611,0.040804153,0.000981168,0.000919179,0.000870926,0.000934765,0.000884531,0.000906782,0.001874268,0.001750716,0.00113123,0.001251532,0.000709848,0.001149625,0.022535528,0.007383539,0.000867243,0.000976109,0.004919839,0.006019898,0.001422106,0.001686594,0.026726614,0.009915843,0.05851406,0.000916949,0.103068378,0.001255126,0.001208299,0.001321269,0.006131623,0.00089016,0.001136409,0.014476388,0.000930233,0.011708199,0.001693303,0.010689755,0.014067764,0.001141293,0.000880668,0.000969951,0.001617222,0.001478923,0.001583643,0.02738858,0.004219003,0.002032932,0.016617,0.00117461,0.001673943,0.001385627,0.002312658,0.008466861,0.031770269,0.064402067,0.000902613,0.005262123,0.00094607,0.000852751,0.000855423,0.000898167,0.000930333,0.014300886,0.001034146,0.001180597,0.009372129,0.001005335,0.001742884,0.272121951
Live Nation Entertainment,LYV,Communication Services,2021,0.001653749,0.001748178,0.00170036,0.002760578,0.02938394,0.001884426,0.001521635,0.00397429,0.001588443,0.033831816,0.001710134,0.001698755,0.001891995,0.001802481,0.001381823,0.001380895,0.002176027,0.001799561,0.001807717,0.002643488,0.001528008,0.002025115,0.011588649,0.001454688,0.001536086,0.001571624,0.002825558,0.001541602,0.001858715,0.005788459,0.001526311,0.001386073,0.010716291,0.001991261,0.00207881,0.001631907,0.001929876,0.006712905,0.154068215,0.007409681,0.001368071,0.001771258,0.001660772,0.001604911,0.001651175,0.006663594,0.01696271,0.001465323,0.116534724,0.001731825,0.001443087,0.001490954,0.001683229,0.003481158,0.001766803,0.015439356,0.002175257,0.003927655,0.008384464,0.009027952,0.001553612,0.00141777,0.002170846,0.011639695,0.074211876,0.008928606,0.001472088,0.001876648,0.014025128,0.089664511,0.003948765,0.015768681,0.00212155,0.001635545,0.028097184,0.002177036,0.003124685,0.009537391,0.013258261,0.00146899,0.074652083,0.001402119,0.001963434,0.001339796,0.026834258,0.00752593,0.025755074,0.001691063,0.00143303,0.001597477,0.001646962,0.001770117,0.001593603,0.021136,0.001646143,0.001489045,0.001660188,0.001441753,0.00162659,0.013952068
Match Group,MTCH,Communication Services,2024,0.001311548,0.002929441,0.001092492,0.001407174,0.001265934,0.052314735,0.001157193,0.001785476,0.001723034,0.001134124,0.014560901,0.000996278,0.001133381,0.001232983,0.036539976,0.001042858,0.001263218,0.001146922,0.002561173,0.005080699,0.001247239,0.034709336,0.001358201,0.046083026,0.001099252,0.116550727,0.001144088,0.001276763,0.033423021,0.001457232,0.017756271,0.001053452,0.014745982,0.001081239,0.002053481,0.001168922,0.001313665,0.001244203,0.056690883,0.001135399,0.001164354,0.001723268,0.000982369,0.001196104,0.001119327,0.001182481,0.001106656,0.001144985,0.001233841,0.001245663,0.001033602,0.001320879,0.001279216,0.004571149,0.001285865,0.00115658,0.34288231,0.001256165,0.011354805,0.001058415,0.001183219,0.0011641,0.001151624,0.001481398,0.001451997,0.001134675,0.003531507,0.001247328,0.001214796,0.00966802,0.001295288,0.001359798,0.001410009,0.001270582,0.00110186,0.018348383,0.001215144,0.000915063,0.001417326,0.001164639,0.001150808,0.001010721,0.001694491,0.001130175,0.001586006,0.001441842,0.00107486,0.022168579,0.00151414,0.001067891,0.002469513,0.001198733,0.016355199,0.038077673,0.001258136,0.001356099,0.001201527,0.00117862,0.001436574,0.001331701
Fox Corporation (Class A),FOXA,Communication Services,2019,0.00235795,0.001114492,0.001066004,0.002901662,0.001119383,0.00112798,0.005569557,0.001185257,0.005414253,0.001116561,0.00093613,0.000944069,0.000929095,0.001088732,0.008562147,0.000931502,0.005296909,0.001091042,0.051327709,0.000934456,0.001312084,0.117596881,0.001097902,0.000903421,0.000986106,0.00123725,0.001243624,0.001256443,0.000964076,0.001003283,0.000921527,0.053806031,0.004630036,0.000954132,0.001016808,0.000948921,0.001260247,0.00088968,0.377477465,0.002287457,0.029740509,0.002879891,0.000978506,0.00182564,0.001327463,0.001109227,0.000871003,0.000919337,0.000931083,0.001014145,0.000872089,0.000986025,0.00088686,0.001219709,0.005953428,0.000950452,0.001112556,0.001053559,0.001872837,0.000953677,0.001165647,0.006825507,0.001250579,0.00099222,0.00087517,0.001735888,0.000903412,0.009749681,0.000964373,0.00118366,0.000975489,0.001049797,0.00095802,0.001142654,0.020917991,0.000986842,0.000933419,0.001988436,0.003503626,0.000959462,0.001009779,0.004842045,0.00130326,0.000820277,0.029646679,0.009804264,0.000986868,0.00098429,0.000905984,0.102661496,0.00095695,0.021756886,0.000956725,0.009106099,0.001051096,0.003257041,0.000946001,0.000923645,0.001072753,0.023679726
"Discovery, Inc.",DISCA,Communication Services,2015,0.001253206,0.00087922,0.001011618,0.000762652,0.000885229,0.000748723,0.054745772,0.000986965,0.004241891,0.000865289,0.007284801,0.000713052,0.000752432,0.001012145,0.000708804,0.000786061,0.00100451,0.000892403,0.055026097,0.002895822,0.000741065,0.013329197,0.000847276,0.000751786,0.000859021,0.001574536,0.00331187,0.000794934,0.001079825,0.000851816,0.024765266,0.001674523,0.003897084,0.000748573,0.001130924,0.001091679,0.000842244,0.000730549,0.301467807,0.008523555,0.03044924,0.006747219,0.000981456,0.017329982,0.000856154,0.001452859,0.003049248,0.000709989,0.058104257,0.000768512,0.000713307,0.00074955,0.000728933,0.010976878,0.00080594,0.000865579,0.000868765,0.000870931,0.000795436,0.004644763,0.01017675,0.001602042,0.000826852,0.002005231,0.000758513,0.000887748,0.000779832,0.000929925,0.000728368,0.073052966,0.000808402,0.005812964,0.000850594,0.000816619,0.002091551,0.002111091,0.000770077,0.00077828,0.066521345,0.000784588,0.006142325,0.00069589,0.000866633,0.045623865,0.000909893,0.000981778,0.00077674,0.001642617,0.003360619,0.000724159,0.000737111,0.027024099,0.000900851,0.007743658,0.000711321,0.000841876,0.00090638,0.073117256,0.00122816,0.003031814
Alphabet Inc. (Class C),GOOG,Communication Services,2017,0.000945512,0.017419488,0.001145057,0.000904179,0.001177658,0.001450855,0.007498807,0.001113164,0.000832047,0.001428179,0.017996024,0.014859078,0.000755328,0.000951,0.025494596,0.000722357,0.001120219,0.001030581,0.054759284,0.002373501,0.00097567,0.000911952,0.00093908,0.008706672,0.001014286,0.015469219,0.016921345,0.001768406,0.021512221,0.001075479,0.000742232,0.000826714,0.02187426,0.000876872,0.000884475,0.002126689,0.001135964,0.000981074,0.158163963,0.00188978,0.001519356,0.001180553,0.000669332,0.000824236,0.00100598,0.036786435,0.000755188,0.000814176,0.00079469,0.002977019,0.000717509,0.000882318,0.092071925,0.021984001,0.000844526,0.000871892,0.139984711,0.000906939,0.000764905,0.000872256,0.00962343,0.001340709,0.000847564,0.002716951,0.000773666,0.002914127,0.004493269,0.000864282,0.000866828,0.003295295,0.001524409,0.001020926,0.001004985,0.000688538,0.002858323,0.000920952,0.004809082,0.004383712,0.00083589,0.000784763,0.000961829,0.000784722,0.01266892,0.000707397,0.003320403,0.000818403,0.000822704,0.000946371,0.00095236,0.000770343,0.03179487,0.007349694,0.141283195,0.006014696,0.006768996,0.002416909,0.000824813,0.001227252,0.001175512,0.011821697
Interpublic Group of Companies (The),IPG,Communication Services,2014,0.001418514,0.000887291,0.589884096,0.000864809,0.000823323,0.000854892,0.037056791,0.001006885,0.004047564,0.001502731,0.000738226,0.000784933,0.013060228,0.000984157,0.011334351,0.000741915,0.000891274,0.00125278,0.000857994,0.000763034,0.000897556,0.00098976,0.001079565,0.000779561,0.001151529,0.000929664,0.001600417,0.00082965,0.004429828,0.001218825,0.010425751,0.000705527,0.004716623,0.000714304,0.001110941,0.000812077,0.000769948,0.000785541,0.000966842,0.000951979,0.026784057,0.001803741,0.000697204,0.002052575,0.00133464,0.0008279,0.003990589,0.000844218,0.006870278,0.000819219,0.000752145,0.003362927,0.000884058,0.000820369,0.012061416,0.099022584,0.000922729,0.000871191,0.0216968,0.000701335,0.001088173,0.000726559,0.000883656,0.001549721,0.000905762,0.001103333,0.000808183,0.003670055,0.000754222,0.000871486,0.000902596,0.000903137,0.00089432,0.002635285,0.001285025,0.000961242,0.000734488,0.001740007,0.000933726,0.000835967,0.010743078,0.00168635,0.000792468,0.000974344,0.000853478,0.001032913,0.008919385,0.046002314,0.000763272,0.000754216,0.000727327,0.001559577,0.000823471,0.000713953,0.000825487,0.000829348,0.000998081,0.000716259,0.001601411,0.001754675
Twitter Inc.,TWTR,Communication Services,2020,0.001149329,0.001581835,0.008399056,0.009260474,0.001196888,0.001556022,0.00110493,0.001471823,0.001097619,0.001394206,0.00110421,0.00111164,0.009731467,0.013624247,0.045711932,0.003682822,0.016468219,0.001304003,0.001525771,0.003948397,0.001054012,0.001260658,0.001473416,0.019609969,0.001287201,0.001697914,0.002057698,0.00124477,0.001725586,0.0317649,0.001189868,0.001001418,0.001397899,0.001329403,0.005720155,0.001139769,0.001451319,0.001131536,0.191117966,0.001331984,0.001135106,0.001851998,0.000989017,0.001139099,0.001388395,0.001628275,0.00108432,0.001300115,0.026924417,0.001631169,0.001031218,0.00254187,0.00150349,0.00191939,0.005198694,0.001298292,0.143328784,0.001170589,0.001846867,0.002260522,0.001102578,0.001008686,0.001295184,0.018111952,0.079253753,0.001218072,0.001100903,0.001231108,0.001461605,0.001552098,0.004853344,0.00148231,0.016221422,0.006929253,0.001656457,0.001297161,0.008325638,0.002284132,0.001103974,0.010895093,0.009181562,0.001027572,0.003161669,0.000980689,0.002121802,0.047181514,0.001039457,0.001238106,0.001053544,0.001154754,0.021058492,0.127674083,0.001089439,0.014664393,0.001190488,0.001076168,0.001178146,0.001317441,0.001336608,0.001305394
